wavelength_nm,G_F,G_R,F_F,F_R,E_F,E_R,D_F,D_R,B_F,B_R,C_F,C_R
800.002564,0.18938239,0.18412657,0.07784653,0.15713675,-0.000154,0.0927673,-0.0001728,0.06748865,0.0001737,0.00885702,-0.0113475,6.02E-05
795.009949,0.18906766,0.18517634,0.07960778,0.15729029,0.00207861,0.09426174,0.00134899,0.06896104,0.00021708,0.00925743,-0.0109495,0.0016337
790.007385,0.19086672,0.18998265,0.07964329,0.16237181,0.00099181,0.09503973,0.00161164,0.06987827,0.00077714,0.01036252,-0.0099239,0.00180746
784.994873,0.19376099,0.1873271,0.08082765,0.16146007,0.00240084,0.09427114,0.00241878,0.07104363,0.00200662,0.01061755,-0.0089317,0.00145087
780.007446,0.19392024,0.18934524,0.08059183,0.16237219,0.00178914,0.09452777,0.00163274,0.0721267,0.0028319,0.01010242,-0.0093173,0.00352881
775.010437,0.19647424,0.19976628,0.08230752,0.16393793,0.00432943,0.09481648,0.00328328,0.07178894,0.0017959,0.01080702,-0.0081909,0.00268343
770.003906,0.19703276,0.19322172,0.08225531,0.16473912,0.00283549,0.09586263,0.00249716,0.07285128,0.00196304,0.01068464,-0.0089206,0.0036814
764.987854,0.19803852,0.19233292,0.08212791,0.16671695,0.00269591,0.09611002,0.00153648,0.07225701,0.00237518,0.01133617,-0.0083599,0.00312932
759.99762,0.19882105,0.19585942,0.08253032,0.16756144,0.00236552,0.09608609,0.00174753,0.07225836,0.00142918,0.01016871,-0.0089496,0.00264491
754.998108,0.19791532,0.19465636,0.08215331,0.16751321,0.00206132,0.09447215,0.00187674,0.07120896,0.00090472,0.01018408,-0.0101269,0.00273105
749.989319,0.19822095,0.19869275,0.08179512,0.16955417,0.00154264,0.09411485,0.00140033,0.07122839,0.0006741,0.00902675,-0.0096813,0.00169552
745.006958,0.19974832,0.19799425,0.08176078,0.16840234,-0.0005313,0.09316918,0.00036644,0.0706855,8.71E-05,0.0078664,-0.0112295,0.00115286
740.015564,0.19817911,0.19835834,0.08079509,0.16905834,-0.0014148,0.09305636,-0.0015442,0.070963,-0.0017191,0.00698634,-0.0133132,0.00042349
735.015381,0.1979434,0.19380188,0.07868955,0.16767332,-0.0030544,0.09044621,-0.0039075,0.06893215,-0.0040948,0.00451714,-0.015085,-0.0024875
730.006348,0.19412778,0.1943939,0.07615571,0.16583377,-0.0073997,0.08794278,-0.0073071,0.06469931,-0.0072951,0.00122414,-0.0187168,-0.0059266
724.988586,0.19353341,0.19810386,0.07429739,0.16501163,-0.0095974,0.08554941,-0.0102073,0.0623914,-0.0105616,-0.0013855,-0.0225294,-0.0094287
719.997803,0.19383383,0.19027944,0.07321218,0.16465367,-0.0118034,0.08314631,-0.0120049,0.06076549,-0.012462,-0.0038339,-0.0232819,-0.0108345
714.998535,0.19332922,0.19364369,0.07161349,0.16575673,-0.0128884,0.08210611,-0.0130654,0.05925284,-0.0138117,-0.0047088,-0.0247275,-0.011546
709.990845,0.19570372,0.19424611,0.07375585,0.16702801,-0.0115296,0.08325507,-0.0121437,0.05994155,-0.0127823,-0.0036634,-0.0245022,-0.0104643
705.010498,0.19911096,0.20026182,0.07675215,0.17164168,-0.0089364,0.08718903,-0.0094627,0.06367207,-0.0099892,-0.0005657,-0.0209628,-0.0076634
699.986206,0.20394027,0.2041368,0.08070144,0.17678486,-0.0050251,0.09046665,-0.0055359,0.06752992,-0.0065608,0.00259598,-0.0170995,-0.0036459
694.989502,0.20951402,0.20859218,0.08598669,0.18210457,-0.0005011,0.09620367,-0.0003883,0.07269022,-0.0017487,0.00745752,-0.0120531,-2.33E-05
689.984802,0.21409464,0.21255513,0.08975463,0.18671975,0.00285412,0.09993856,0.00255163,0.07680374,0.00209466,0.01133973,-0.008516,0.00508044
685.008057,0.21744323,0.21620455,0.09358214,0.19146627,0.00533727,0.10343026,0.00534872,0.08022661,0.00387024,0.01363224,-0.0067178,0.00704246
679.987427,0.220249,0.22931999,0.09557614,0.19542526,0.00777249,0.10416298,0.00698058,0.08152957,0.00590014,0.0153792,-0.0044632,0.00879043
674.994995,0.2212816,0.22173455,0.09810597,0.19773823,0.00834878,0.10538676,0.00831605,0.08271555,0.00615089,0.01664857,-0.0035245,0.01106236
669.994812,0.22317608,0.22316058,0.09729812,0.19852431,0.00804325,0.1064125,0.00800338,0.0831271,0.00786049,0.01728695,-0.0027371,0.01068958
664.987,0.2241814,0.22331081,0.09671785,0.19834727,0.00798203,0.10518385,0.00675799,0.0829938,0.00686399,0.01557899,-0.0045639,0.00999761
660.007874,0.22466287,0.22729777,0.09672386,0.19864866,0.00665741,0.10487778,0.00653649,0.08196306,0.00572269,0.01555932,-0.0047041,0.00887367
654.984924,0.22431572,0.22753209,0.09711685,0.20044391,0.00678954,0.10570749,0.00667676,0.0829222,0.00536138,0.01532098,-0.004312,0.00933698
649.990845,0.22513072,0.22488727,0.09663871,0.20117086,0.0055639,0.10499845,0.00583704,0.0826394,0.00520958,0.01526655,-0.0051392,0.00838073
644.989502,0.22588407,0.22569625,0.09735363,0.20260203,0.00647458,0.10525443,0.00574355,0.08294936,0.00502726,0.01448369,-0.0057251,0.00853546
640.017395,0.22728838,0.23098412,0.09818751,0.20324923,0.0066439,0.10548965,0.00570711,0.08378158,0.00533305,0.014717,-0.0052422,0.0088598
635.001587,0.22814055,0.23412237,0.0979207,0.20433757,0.00604488,0.10573176,0.00595118,0.08364946,0.00470964,0.01419538,-0.0057742,0.00883652
630.015198,0.22905403,0.22822841,0.09893834,0.2065654,0.00615133,0.10580844,0.0058129,0.08418087,0.00519999,0.01479327,-0.0057826,0.00913845
624.985046,0.23001438,0.2305945,0.09949118,0.2082523,0.00602102,0.10593654,0.00578992,0.08413383,0.00503566,0.01516135,-0.0049714,0.00948269
619.98468,0.22992009,0.23251462,0.09966383,0.20948425,0.00641951,0.1062714,0.0055574,0.08566839,0.00522939,0.01515676,-0.0058415,0.00914982
615.014221,0.23133755,0.23275234,0.09992722,0.21085075,0.00626081,0.10604921,0.00554744,0.08560994,0.00478451,0.01520105,-0.0057088,0.0096499
610.000122,0.23196085,0.23360763,0.10028411,0.21071973,0.00565909,0.10652334,0.00454293,0.08472778,0.00400122,0.01405929,-0.0061911,0.00824091
605.016174,0.23248437,0.23679304,0.10042965,0.21160999,0.00577458,0.10657231,0.00466822,0.08419269,0.00414961,0.0133257,-0.0060348,0.00855909
599.988586,0.23364541,0.24297552,0.10055617,0.21351138,0.00550565,0.10637503,0.00516536,0.08591939,0.00366516,0.01412264,-0.0062639,0.00865961
594.991394,0.23446018,0.23910986,0.10070214,0.21381435,0.00517843,0.10643761,0.00443648,0.08547185,0.00295555,0.01394749,-0.0067862,0.00771489
589.98761,0.23482044,0.2439281,0.10055897,0.21468042,0.00529343,0.10624389,0.00411631,0.08553378,0.00324752,0.01339751,-0.0073977,0.00789076
585.014465,0.23513959,0.24115215,0.10154766,0.21605828,0.0048582,0.10676017,0.00457278,0.08585033,0.00335298,0.01351926,-0.007438,0.00785127
579.997864,0.23582469,0.23796482,0.10182119,0.21651712,0.00405781,0.10651594,0.00300992,0.08600303,0.00200407,0.01235001,-0.0079046,0.00765771
575.012085,0.23620388,0.24092223,0.10122959,0.2179393,0.00345423,0.10695319,0.00252429,0.08548079,0.00073252,0.01246675,-0.008472,0.00677335
569.982849,0.23665415,0.24037692,0.10133699,0.21896403,0.00312895,0.10583027,0.00195883,0.08468613,0.00113396,0.0116721,-0.0087912,0.00671453
564.98468,0.23797807,0.24188174,0.10099618,0.2198761,0.00231753,0.10552038,0.0014122,0.08391009,0.00043163,0.01117122,-0.0099467,0.00615703
560.0177,0.23727839,0.24312483,0.10089536,0.22073354,0.00126523,0.10521769,0.00081122,0.08413031,-0.00047,0.01018384,-0.0106958,0.00552625
555.007385,0.23742375,0.24362153,0.10053518,0.22182138,0.00062446,0.10463354,-0.0004667,0.08431701,-0.0017979,0.00926949,-0.0115147,0.00387382
549.991028,0.23710305,0.24900715,0.09989926,0.2218902,-0.0011632,0.1037583,-0.0011607,0.08373223,-0.0022704,0.00800916,-0.012816,0.00379474
545.006287,0.2373209,0.24132255,0.09955896,0.22228366,-0.0012796,0.10346696,-0.0023327,0.08324579,-0.0034655,0.00672089,-0.0133935,0.0029886
540.015686,0.23794135,0.24365342,0.09952907,0.2230294,-0.0020075,0.10279799,-0.0030371,0.08073364,-0.0044633,0.00665381,-0.0148268,0.00215434
534.981751,0.23805948,0.24251553,0.09972847,0.22415538,-0.0023899,0.10325608,-0.0036647,0.08310744,-0.0048819,0.00625842,-0.0149059,0.00180068
530.017334,0.23931071,0.24513488,0.10122527,0.22695307,-0.0016686,0.10478534,-0.0027464,0.08574117,-0.0040857,0.00681686,-0.0142245,0.00279232
525.009644,0.24306194,0.24931736,0.10427061,0.22932982,0.00084367,0.10718704,-0.0001298,0.08435366,-0.0017741,0.00929964,-0.0118119,0.00527514
519.996399,0.24703945,0.25286946,0.10770906,0.23511414,0.00388249,0.11127717,0.00268138,0.09033698,0.00091948,0.01206965,-0.0088266,0.00834389
515.015259,0.25154331,0.25807017,0.11169565,0.23809487,0.00730213,0.11431212,0.00487903,0.09301637,0.0040877,0.0151999,-0.0057929,0.01182901
509.990997,0.25549871,0.2631079,0.1150988,0.24292415,0.01003828,0.11769939,0.00828178,0.09596141,0.00684221,0.01837827,-0.0026486,0.01463646
504.999146,0.25843695,0.26571158,0.11786766,0.24688855,0.0117881,0.12075534,0.01066854,0.09909864,0.00927542,0.02078966,-0.0005344,0.01707567
500.001984,0.26104575,0.26803729,0.12014443,0.24951784,0.01346786,0.12244844,0.01263598,0.10191888,0.01074893,0.02270768,0.00094532,0.01899929
494.999542,0.26330355,0.27010715,0.12181205,0.25212786,0.01487259,0.12381491,0.01352126,0.10307872,0.01138586,0.02282605,0.00189702,0.01998306
489.991913,0.26353234,0.27235153,0.1224817,0.25344357,0.01495122,0.12472942,0.01333955,0.10468354,0.01117993,0.02337727,0.00218194,0.01955588
485.01712,0.26373512,0.27047637,0.12255721,0.25544244,0.01431153,0.12513994,0.01279167,0.10702062,0.01079531,0.02306378,0.00130597,0.01962897
479.999298,0.26475829,0.27376476,0.12316833,0.25547835,0.01432437,0.1250038,0.01271521,0.10341857,0.01085325,0.02324559,0.0014971,0.01959842
475.014557,0.26626161,0.27854043,0.12396207,0.25736094,0.0146269,0.12638606,0.01225081,0.10386787,0.01064448,0.02302985,0.00124823,0.01937836
469.986725,0.26846427,0.2790111,0.12630206,0.26047003,0.01573531,0.1273085,0.01369608,0.10626317,0.01186133,0.02440083,0.00288539,0.02099772
464.992096,0.27216649,0.28238216,0.12940428,0.26446903,0.01891968,0.13061547,0.01663668,0.10884114,0.01418372,0.02697782,0.00507411,0.02387777
459.992676,0.27511227,0.28619027,0.13238201,0.26789096,0.0209332,0.13302104,0.01877886,0.11014697,0.01665707,0.0291168,0.00733311,0.02628034
454.988525,0.2783981,0.28850967,0.13585579,0.27216229,0.02397281,0.13638823,0.02109668,0.11473667,0.01901898,0.03092094,0.00953558,0.02851831
450.017883,0.27982932,0.29145852,0.13791038,0.27497518,0.02527429,0.13860463,0.02202372,0.11700867,0.02012123,0.03310098,0.01109216,0.03007393
445.004425,0.2820414,0.29391575,0.13960324,0.27879307,0.02596752,0.13997926,0.02316856,0.11746474,0.02065708,0.03392605,0.01167446,0.03086802
439.986359,0.28385177,0.29551995,0.14139906,0.28068182,0.02708124,0.14151189,0.02373079,0.11841103,0.02144674,0.03452913,0.01222536,0.03182267
435.002045,0.28439406,0.29756308,0.14171165,0.28166926,0.02703992,0.14297488,0.02324753,0.11990964,0.02124342,0.03446509,0.01177177,0.03171171
430.013336,0.2851333,0.30168569,0.1429864,0.28335717,0.02761113,0.14312631,0.02377653,0.12062772,0.02125668,0.0349695,0.01167502,0.03208365
424.981873,0.28602645,0.30011833,0.14416412,0.28721595,0.02771481,0.143922,0.02325717,0.12150407,0.02103551,0.03473308,0.0117148,0.03167406
419.984375,0.2868208,0.30104411,0.14534146,0.28862286,0.02854628,0.14525038,0.02368391,0.12139933,0.02168859,0.03505716,0.0116668,0.03218835
414.982636,0.288369,0.30215716,0.1468824,0.29065245,0.02869479,0.14672273,0.02385036,0.1226844,0.02141433,0.03515382,0.01190544,0.03261413
410.015259,0.28927046,0.30404592,0.14807181,0.29158473,0.02935777,0.14706273,0.02382299,0.1229462,0.02102828,0.0353463,0.01171491,0.03237202
405.005127,0.28954694,0.30516937,0.1490099,0.2934165,0.02958173,0.14871454,0.02328811,0.12354871,0.02088366,0.03522344,0.01156835,0.03275739
399.990936,0.28889394,0.30717215,0.15000126,0.29654902,0.02956973,0.14903803,0.02356055,0.12456879,0.01959479,0.03493831,0.01098417,0.03220301
395.011231,0.29065701,0.3102355,0.15148614,0.29828441,0.02995265,0.15010533,0.02295599,0.12478182,0.01991519,0.03466808,0.00998403,0.03200294
389.988983,0.29138762,0.30799246,0.15343428,0.30063426,0.03018588,0.15201087,0.02305296,0.1261602,0.01906936,0.03461196,0.01052899,0.03227542
385.001373,0.29245719,0.31108946,0.15547609,0.30429709,0.03184893,0.15367708,0.02382786,0.12786075,0.02057,0.03549515,0.01096126,0.03310752
380.009918,0.29474598,0.31252402,0.15935914,0.30867487,0.03419757,0.15700184,0.0255859,0.13129337,0.0220302,0.03690325,0.01243766,0.03486815
375.01471,0.29702225,0.31677839,0.16335519,0.3147397,0.03746155,0.16013485,0.02742536,0.13227718,0.02376442,0.03911276,0.01427806,0.03674107
370.015686,0.30198649,0.32094902,0.16875799,0.31983483,0.04111923,0.16568173,0.03043614,0.13594776,0.02662636,0.04233826,0.017296,0.04000221
365.01294,0.30527291,0.32458171,0.17424041,0.3268669,0.04500128,0.16972637,0.03323068,0.14098808,0.02888282,0.04428468,0.01970407,0.04275464
360.006561,0.30812216,0.3283934,0.17865014,0.33162749,0.04834146,0.17470208,0.03547304,0.14369011,0.03103342,0.04729918,0.02152445,0.04506902
354.996552,0.31112278,0.3341358,0.1827434,0.33687064,0.05114402,0.17812291,0.03707593,0.14566599,0.03216083,0.04862377,0.02244668,0.04660529
349.983032,0.31167725,0.33709958,0.18693018,0.34117183,0.05289706,0.18036267,0.03840967,0.14711045,0.03299637,0.04944971,0.02343805,0.0470788
345.004852,0.31395078,0.33705199,0.19087805,0.34665731,0.05588124,0.18394123,0.03952081,0.14895923,0.03396946,0.05056117,0.0241338,0.04843881
339.984345,0.3157807,0.34099704,0.19494502,0.35267502,0.05772335,0.18813039,0.04063807,0.15292484,0.03452246,0.0514974,0.02425937,0.04960591
334.99942,0.31762543,0.34565562,0.19930843,0.35886309,0.06128616,0.19153109,0.04186507,0.15472177,0.03510588,0.05244993,0.02556929,0.04999403
330.011139,0.31878147,0.34571832,0.20441207,0.3636055,0.06366932,0.19487114,0.04267247,0.15607809,0.03583929,0.05357772,0.02557854,0.05058097
324.980652,0.31943864,0.34902406,0.20928913,0.36962819,0.06680985,0.1990235,0.04307833,0.15707386,0.03642234,0.05461822,0.02570282,0.05126451
319.985901,0.32121184,0.35160992,0.21502498,0.3772063,0.07033269,0.20378488,0.04426277,0.16017082,0.0371346,0.05560097,0.02659239,0.05217487
314.987976,0.32331014,0.35013908,0.22189826,0.38487786,0.07432221,0.20864193,0.04590977,0.16069147,0.03869796,0.05664011,0.02695995,0.05343718
309.986969,0.32450661,0.3609494,0.22868398,0.39459017,0.07871571,0.21555789,0.04730689,0.16726753,0.04004553,0.05919555,0.02782602,0.05455553
304.982849,0.3266826,0.35230002,0.23687102,0.40303719,0.08380135,0.22254419,0.04894321,0.17003147,0.04155014,0.06133639,0.02920954,0.05595944
300.014893,0.3295131,0.35705081,0.24482758,0.41325948,0.08873219,0.22900136,0.05043177,0.17377608,0.04280494,0.06265593,0.03004571,0.05705042
295.004883,0.3298344,0.3643353,0.25399521,0.42274028,0.09411316,0.23548527,0.05155738,0.17313546,0.04419582,0.06452505,0.02969478,0.05756499
289.991943,0.33175364,0.36131814,0.26358217,0.43431333,0.1001444,0.24382992,0.05287458,0.1779438,0.04533246,0.06679424,0.03076486,0.05895141
285.01532,0.33439079,0.36763513,0.27515173,0.44763851,0.10679086,0.2529842,0.05504173,0.18011981,0.04716522,0.06899211,0.03200763,0.05999867
279.996735,0.33774185,0.37696722,0.28745282,0.46243286,0.11445768,0.26233473,0.05719087,0.18603648,0.0487447,0.07140288,0.03342203,0.06148259
275.014618,0.34223062,0.36988163,0.2994664,0.47689715,0.12199432,0.27167392,0.06036365,0.19237639,0.05132003,0.07373041,0.03516931,0.06379633
269.99057,0.34434435,0.38058552,0.31274965,0.49074823,0.13019587,0.28134727,0.06310349,0.19596586,0.05383378,0.0772588,0.03773363,0.06647507
265.003113,0.34825897,0.37975809,0.32402456,0.50220042,0.13799904,0.29123494,0.06744658,0.20265116,0.05689078,0.08075229,0.04046619,0.06978846
260.013123,0.35315925,0.38893387,0.33643404,0.51436937,0.14579344,0.29849073,0.0710997,0.20214263,0.06073045,0.08467788,0.04341391,0.07304712
254.981247,0.35851195,0.39033127,0.34832293,0.52797043,0.15424803,0.30922455,0.07622833,0.21552008,0.06437675,0.08897553,0.04716374,0.07696392
249.986176,0.36467785,0.39633846,0.36101988,0.54327118,0.16484788,0.32212323,0.08259631,0.22699974,0.07038508,0.09482064,0.05305908,0.08238384
244.988739,0.37134644,0.40393192,0.37447393,0.55929965,0.17847301,0.3361738,0.08868625,0.23558769,0.07549918,0.1005886,0.05815581,0.08792053
239.988846,0.37875205,0.41343084,0.38951549,0.5753631,0.20025122,0.3589125,0.09543291,0.24049863,0.08066987,0.10673393,0.06341201,0.09341555
234.986694,0.38513234,0.4232938,0.40789101,0.59397811,0.24758285,0.40815955,0.10661026,0.25726515,0.08982011,0.11688235,0.07336114,0.10399395
229.982193,0.39836133,0.43782759,0.43280011,0.61913973,0.3527191,0.51673353,0.12976655,0.28430995,0.10876322,0.13750297,0.09613687,0.12692279
225.014954,0.42832908,0.4691014,0.46416175,0.65186328,0.54796267,0.72022837,0.1679329,0.32194307,0.14643477,0.17763469,0.14398575,0.17410983
220.006073,0.51333141,0.55669421,0.50124019,0.69244212,0.93056476,1.0822264,0.23467053,0.39771396,0.24206783,0.27019379,0.27187362,0.30589423
214.995041,0.82694042,0.87484002,0.54359323,0.73889452,1.47365379,1.61428165,0.30916205,0.48302361,0.5164749,0.53936768,0.65683788,0.68466961
209.981934,1.82731068,1.90045571,0.59320712,0.79126936,2.27981162,2.40520048,0.38369069,0.56771934,1.29122269,1.29163432,1.71971989,1.76410711
205.006302,3.16138339,3.34600329,0.65967131,0.85836726,3.10767269,3.22440314,0.46600714,0.65630031,2.72706509,2.76637983,2.85638261,2.95434785
199.989166,3.2893486,3.21999669,0.78282362,0.98419857,3.11381698,3.47930121,0.60446751,0.7971465,2.97014213,2.81711555,2.89853215,3.00323248